analysis_id	biosample_id	individual_id	experiment_id	analysis_operation_id	analysis_operation_label
pgxcs-ltoi02gi	pgxbs-kftvi11u	pgxind-kftx3uvi	pgx:TCGA.93a664b4-79e2-49c9-9fbf-e7cb63d1095a	EDAM:operation_3227	Variant Calling
pgxcs-ltoike7f	pgxbs-kftvi102	pgxind-kftx3uut	pgx:TCGA.1eef18f6-5c15-4174-a9b7-9626189eb2d6	EDAM:operation_3227	Variant Calling
pgxcs-ltoi32nc	pgxbs-kftvi8b6	pgxind-kftx3w3i	pgx:TCGA.dfe35835-d03e-4ce3-a76a-fdb15e601257	EDAM:operation_3227	Variant Calling
pgxcs-ltohq0ak	pgxbs-kftvhnoc	pgxind-kftx3jr0	pgx:TCGA.582c3030-1f23-4535-9c8b-6b594e656af4	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3rtf	pgxbs-kftvi4er	pgxind-kftx3ue9	pgx:TCGA.992d3519-cd51-4f48-880c-81fef52be1bf	EDAM:operation_3227	Variant Calling
pgxcs-ltohsiv3	pgxbs-kftvhhwp	pgxind-kftx3fov	pgx:TCGA.8673d69f-530e-4c33-ba96-25cd44adea7b	EDAM:operation_3227	Variant Calling
pgxcs-ltohjzx1	pgxbs-kftvi355	pgxind-kftx3v13	pgx:TCGA.eadbc728-7f25-474e-82f4-e863d79c8dd6	EDAM:operation_3227	Variant Calling
pgxcs-ltohvbsz	pgxbs-kftvi9uv	pgxind-kftx3mxg	pgx:TCGA.597fa0c7-a502-4a03-9fa3-fd780f297e44	EDAM:operation_3227	Variant Calling
pgxcs-ltohwv5h	pgxbs-kftvhmf1	pgxind-kftx3kyp	pgx:TCGA.2beeeba8-47fe-4857-8704-e4c63e38c926	EDAM:operation_3227	Variant Calling
pgxcs-ltoihr0y	pgxbs-kftvi4ib	pgxind-kftx3t09	pgx:TCGA.73ea6778-4dbe-4300-a80b-bf41f6ac5fd9	EDAM:operation_3227	Variant Calling
pgxcs-ltohj7of	pgxbs-kftvhkbc	pgxind-kftx3ihf	pgx:TCGA.d91ec6e8-cdea-41b8-a88e-252586d3b9ae	EDAM:operation_3227	Variant Calling
pgxcs-ltoid5yc	pgxbs-kftvhvbo	pgxind-kftx3ryt	pgx:TCGA.0c4c53ae-6c18-4207-b932-c2e58cdafc20	EDAM:operation_3227	Variant Calling
pgxcs-ltoib8xi	pgxbs-kftvhkho	pgxind-kftx3ioi	pgx:TCGA.38a4ac42-be08-4187-98c2-af861218c3db	EDAM:operation_3227	Variant Calling
pgxcs-ltohwa5r	pgxbs-kftvhy6m	pgxind-kftx3lqh	pgx:TCGA.fd735dc5-2ec3-43bd-b1b1-8fa811be0633	EDAM:operation_3227	Variant Calling
pgxcs-ltohg9g5	pgxbs-kftvi9lk	pgxind-kftx3mke	pgx:TCGA.32b46b33-43d1-4663-bebd-f31673f18a16	EDAM:operation_3227	Variant Calling
pgxcs-ltoiap5p	pgxbs-kftvhwnb	pgxind-kftx3sth	pgx:TCGA.e5a9fa79-2d0f-4cda-9fea-baab86f78b8e	EDAM:operation_3227	Variant Calling
pgxcs-ltohwe7d	pgxbs-kftvhvrz	pgxind-kftx3myc	pgx:TCGA.019e7aee-73c9-4330-b4d0-493a97d654b0	EDAM:operation_3227	Variant Calling
pgxcs-ltohpgga	pgxbs-kftvhr8f	pgxind-kftx3pbw	pgx:TCGA.6b58512c-bba6-4871-a98a-50078b88dcdb	EDAM:operation_3227	Variant Calling
pgxcs-ltoi2rlo	pgxbs-kftvhqne	pgxind-kftx3nlu	pgx:TCGA.d84e1b10-b7c6-4916-afbc-b311d2ccf19d	EDAM:operation_3227	Variant Calling
pgxcs-ltoi4nbe	pgxbs-kftvhwqf	pgxind-kftx3sv4	pgx:TCGA.e8a5ec1d-b962-4b48-8eae-d49bd6291b6b	EDAM:operation_3227	Variant Calling
pgxcs-ltohp7zv	pgxbs-kftvi6v1	pgxind-kftx3iez	pgx:TCGA.ecd3d671-e830-44af-8518-9d06ed15d04b	EDAM:operation_3227	Variant Calling
pgxcs-ltohtd5m	pgxbs-kftvi2s0	pgxind-kftx3vh9	pgx:TCGA.cc20ef21-77be-49f3-8cc5-cac498fe57f3	EDAM:operation_3227	Variant Calling
pgxcs-ltohmmsl	pgxbs-kftvhvbt	pgxind-kftx3ryz	pgx:TCGA.2d424c9d-4835-438c-9d22-9ff1d73f2cdd	EDAM:operation_3227	Variant Calling
pgxcs-ltoihyyg	pgxbs-kftvi5am	pgxind-kftx3kcp	pgx:TCGA.de16b5da-44f0-4eb7-ad94-7e2b307c0a96	EDAM:operation_3227	Variant Calling
pgxcs-ltoha05q	pgxbs-kftvhqlx	pgxind-kftx3fcb	pgx:TCGA.c4d764a5-b669-4e88-a989-f7b00384683a	EDAM:operation_3227	Variant Calling
pgxcs-ltohhmu6	pgxbs-kftvi93k	pgxind-kftx3tu5	pgx:TCGA.96bdafe1-b0fb-4126-9734-1374d615ef6d	EDAM:operation_3227	Variant Calling
pgxcs-ltohc6xw	pgxbs-kftvhmf3	pgxind-kftx3kgd	pgx:TCGA.91d58448-b712-4626-82c6-a451fddf277d	EDAM:operation_3227	Variant Calling
pgxcs-ltohms5n	pgxbs-kftvhin1	pgxind-kftx3gkj	pgx:TCGA.f298b46c-ce8b-4ce6-870e-ea6f3e139f46	EDAM:operation_3227	Variant Calling
pgxcs-ltohmswb	pgxbs-kftvhtys	pgxind-kftx3ir4	pgx:TCGA.cf39d26f-ae75-40ee-a809-3f48e2558e54	EDAM:operation_3227	Variant Calling
pgxcs-ltohddku	pgxbs-kftvhixn	pgxind-kftx3gwl	pgx:TCGA.6d20c10a-68e1-492a-aa7c-9fcaf5bc55a5	EDAM:operation_3227	Variant Calling
pgxcs-ltohcvdf	pgxbs-kftvhz5a	pgxind-kftx3u02	pgx:TCGA.07381a09-5cbd-4744-86ec-41a81e470204	EDAM:operation_3227	Variant Calling
pgxcs-ltoiflgm	pgxbs-kftvi2n9	pgxind-kftx3uv8	pgx:TCGA.64160d0f-2443-44c0-9604-88624381985d	EDAM:operation_3227	Variant Calling
pgxcs-ltoi4zsi	pgxbs-kftvhv7i	pgxind-kftx3rwm	pgx:TCGA.d43afdad-c03b-47c7-8727-570f410dbc96	EDAM:operation_3227	Variant Calling
pgxcs-ltoh8hoy	pgxbs-kftvhw4q	pgxind-kftx3r7d	pgx:TCGA.1220e8b3-e16e-454e-bc49-60f49f9fe090	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8oht	pgxbs-kftvhpgh	pgxind-kftx3nut	pgx:TCGA.16920f83-4eda-4823-84c6-efcb1e74db36	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8wka	pgxbs-kftvi8o6	pgxind-kftx3wl0	pgx:TCGA.e24b153c-001b-43a3-b0d4-2b6eec615cfd	EDAM:operation_3227	Variant Calling
pgxcs-ltoigh40	pgxbs-kftvhtqn	pgxind-kftx3r5r	pgx:TCGA.eaf742ea-5bdc-4f44-a390-77cba766d260	EDAM:operation_3227	Variant Calling
pgxcs-ltoiiuvw	pgxbs-kftvi4yc	pgxind-kftx3w27	pgx:TCGA.545da348-26c6-4e80-90c0-d9422797b8fd	EDAM:operation_3227	Variant Calling
pgxcs-ltohargg	pgxbs-kftvhj0v	pgxind-kftx3h04	pgx:TCGA.775f1197-ac0c-47e1-b63e-cc1d3c63151d	EDAM:operation_3227	Variant Calling
pgxcs-ltoi86d9	pgxbs-kftvi0k5	pgxind-kftx3pr2	pgx:TCGA.73ed3aa7-1aad-42b6-ac8a-1ca284a75a48	EDAM:operation_3227	Variant Calling
pgxcs-ltoh828h	pgxbs-kftvi4lg	pgxind-kftx3rk5	pgx:TCGA.d805ce42-5a2a-4288-8a6f-966a985311c0	EDAM:operation_3227	Variant Calling
pgxcs-ltohidqs	pgxbs-kftvhnbv	pgxind-kftx3lw3	pgx:TCGA.f6c7b8c5-02df-4b89-b527-f647762a98b7	EDAM:operation_3227	Variant Calling
pgxcs-ltohkgwh	pgxbs-kftvhlt1	pgxind-kftx3k3b	pgx:TCGA.d421eeed-621f-4137-9d3f-1e06c8eb9606	EDAM:operation_3227	Variant Calling
pgxcs-ltoh8n0z	pgxbs-kftvi6hc	pgxind-kftx3qj3	pgx:TCGA.a26d04d0-1501-4cc7-afea-154a89cff0ff	EDAM:operation_3227	Variant Calling
pgxcs-ltohwvjn	pgxbs-kftvi58f	pgxind-kftx3w3u	pgx:TCGA.0ecbd044-0689-4395-a3d6-fb0d46fcf226	EDAM:operation_3227	Variant Calling
pgxcs-ltohv0h0	pgxbs-kftvhqi6	pgxind-kftx3or5	pgx:TCGA.1b2e1b50-8d4e-4e62-9b1b-b484936bd6eb	EDAM:operation_3227	Variant Calling
pgxcs-ltohn9oq	pgxbs-kftvhwuk	pgxind-kftx3sxe	pgx:TCGA.43739161-8083-4740-a670-1a334a87ca7e	EDAM:operation_3227	Variant Calling
pgxcs-ltohy801	pgxbs-kftvhqb6	pgxind-kftx3fn3	pgx:TCGA.a988fc4f-a98e-4ba0-b648-7b416cbb0abe	EDAM:operation_3227	Variant Calling
pgxcs-ltoif5eg	pgxbs-kftvi5ef	pgxind-kftx3t5e	pgx:TCGA.e7941552-18d8-4ae4-a9bf-5530a046cbbf	EDAM:operation_3227	Variant Calling
pgxcs-ltoh80a0	pgxbs-kftvhqm2	pgxind-kftx3ou5	pgx:TCGA.1b45900c-f51a-4c0e-bcd0-8e2f59798106	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9zcw	pgxbs-kftvi222	pgxind-kftx3snb	pgx:TCGA.9038ce9f-3305-40da-b3ae-4324f0e88c41	EDAM:operation_3227	Variant Calling
pgxcs-ltohm66s	pgxbs-kftvi9gn	pgxind-kftx3fax	pgx:TCGA.e6142f96-4b9b-4691-8e7d-47d36bbdf37f	EDAM:operation_3227	Variant Calling
pgxcs-ltohivus	pgxbs-kftvi7oj	pgxind-kftx3unr	pgx:TCGA.bfc99c6d-7791-4037-9c74-a74be68e616a	EDAM:operation_3227	Variant Calling
pgxcs-ltoibjit	pgxbs-kftvhtdp	pgxind-kftx3qwi	pgx:TCGA.bf5321d2-aa86-4990-a2f7-00822f0edd8d	EDAM:operation_3227	Variant Calling
pgxcs-ltohp4gu	pgxbs-kftvi8kd	pgxind-kftx3qr7	pgx:TCGA.327bbca7-fa25-4a92-be27-21a4c184c760	EDAM:operation_3227	Variant Calling
pgxcs-ltohyla7	pgxbs-kftvhmax	pgxind-kftx3kkx	pgx:TCGA.6748a073-7a01-44ca-9f9c-fb69b157ace0	EDAM:operation_3227	Variant Calling
pgxcs-ltoi4do6	pgxbs-kftvhnpk	pgxind-kftx3m9m	pgx:TCGA.6df7dbc0-ef81-4ff2-9d02-09d10613ad9e	EDAM:operation_3227	Variant Calling
pgxcs-ltohsxj0	pgxbs-kftvhkrs	pgxind-kftx3iz5	pgx:TCGA.0c6b4631-381e-4b73-ac9e-62bbc1849ff4	EDAM:operation_3227	Variant Calling
pgxcs-ltohhqed	pgxbs-kftvhqx2	pgxind-kftx3or3	pgx:TCGA.900c51fa-f50e-4463-b51e-f541dc818d91	EDAM:operation_3227	Variant Calling
pgxcs-ltohn9bt	pgxbs-kftvi3p7	pgxind-kftx3r0y	pgx:TCGA.49e270b1-8a45-4af9-b071-3a54845ff6fe	EDAM:operation_3227	Variant Calling
pgxcs-ltoh72sx	pgxbs-kftvhs7h	pgxind-kftx3pu7	pgx:TCGA.355d59fe-e792-405b-b13a-004a0d234905	EDAM:operation_3227	Variant Calling
pgxcs-ltohdikq	pgxbs-kftvhq5z	pgxind-kftx3ohs	pgx:TCGA.865f4ef4-4d1c-4cea-a6de-ce7901dea213	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6gic	pgxbs-kftvhlnu	pgxind-kftx3iaa	pgx:TCGA.63dbcf72-c115-4367-8230-8188913ecade	EDAM:operation_3227	Variant Calling
pgxcs-ltoia678	pgxbs-kftvi8v5	pgxind-kftx3qso	pgx:TCGA.d4c5514f-8e2c-437c-8b53-a8b4b298abc2	EDAM:operation_3227	Variant Calling
pgxcs-ltohtquf	pgxbs-kftvhhkm	pgxind-kftx3faj	pgx:TCGA.44d07be5-4621-41a2-a574-35122a3e5fbc	EDAM:operation_3227	Variant Calling
pgxcs-ltohgfw6	pgxbs-kftvhjvn	pgxind-kftx3hzo	pgx:TCGA.4eaa4b4a-e9db-4e65-97d6-7fa1a205da95	EDAM:operation_3227	Variant Calling
pgxcs-ltoiiovz	pgxbs-kftvi9i2	pgxind-kftx3stp	pgx:TCGA.c7b4058e-21b2-4e6b-8fff-e1981583b9ce	EDAM:operation_3227	Variant Calling
pgxcs-ltohctpn	pgxbs-kftvho0k	pgxind-kftx3mjz	pgx:TCGA.08cd5f21-f1f6-4ffb-8587-2e13f6ded157	EDAM:operation_3227	Variant Calling
pgxcs-ltohb1go	pgxbs-kftvhto6	pgxind-kftx3r40	pgx:TCGA.26189cf5-ae49-44cf-842b-35a3063ab93c	EDAM:operation_3227	Variant Calling
pgxcs-ltoi1dnw	pgxbs-kftvhxmx	pgxind-kftx3tdz	pgx:TCGA.1639381a-5315-49b1-bbcb-c077da3bf7a0	EDAM:operation_3227	Variant Calling
pgxcs-ltohwes7	pgxbs-kftvhoah	pgxind-kftx3mt6	pgx:TCGA.bab4c3b5-78d5-4fd7-816c-f72886ab2244	EDAM:operation_3227	Variant Calling
pgxcs-ltoieq9m	pgxbs-kftvi8m1	pgxind-kftx3tk5	pgx:TCGA.fe98f78b-2c80-4999-b430-e1d95a53f356	EDAM:operation_3227	Variant Calling
pgxcs-ltoh9r5d	pgxbs-kftvhkht	pgxind-kftx3iop	pgx:TCGA.95e3e4d5-393d-418c-a3a9-2ec8d0ad14b3	EDAM:operation_3227	Variant Calling
pgxcs-ltohmpdt	pgxbs-kftvi4rf	pgxind-kftx3w0i	pgx:TCGA.a1d803b0-028e-44c2-b422-7b1bcbbfc0c1	EDAM:operation_3227	Variant Calling
pgxcs-ltohuhix	pgxbs-kftvhu5l	pgxind-kftx3ik3	pgx:TCGA.12ece355-f1d0-446c-84e9-0aed3e6d29f8	EDAM:operation_3227	Variant Calling
pgxcs-ltohcfab	pgxbs-kftvhtvl	pgxind-kftx3kuv	pgx:TCGA.e8bf48af-a15c-42a8-a2de-c47d84aa4e55	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6xda	pgxbs-kftvhpfr	pgxind-kftx3nu0	pgx:TCGA.2fe3777b-9cf4-49d0-9238-85405bebdd33	EDAM:operation_3227	Variant Calling
pgxcs-ltoiix0n	pgxbs-kftvhnfi	pgxind-kftx3lzm	pgx:TCGA.66a01b18-fcb1-466d-aebf-401816b17ec2	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9513	pgxbs-kftvi1su	pgxind-kftx3okv	pgx:TCGA.b9d6c505-4d71-4189-925f-36914241b831	EDAM:operation_3227	Variant Calling
pgxcs-ltohi053	pgxbs-kftvhpro	pgxind-kftx3n5y	pgx:TCGA.3e54e8ba-e817-47e7-bb7a-fbbe42558a68	EDAM:operation_3227	Variant Calling
pgxcs-ltohvhr3	pgxbs-kftvhqs6	pgxind-kftx3oys	pgx:TCGA.85477745-5f19-431d-b592-a0942f13b4fe	EDAM:operation_3227	Variant Calling
pgxcs-ltohijch	pgxbs-kftvi4zq	pgxind-kftx3w2d	pgx:TCGA.f2f2b11f-a4eb-4260-b2b6-822544adad60	EDAM:operation_3227	Variant Calling
pgxcs-ltohd93h	pgxbs-kftvhigm	pgxind-kftx3gcx	pgx:TCGA.4f4d9529-09e0-4a0d-8a9f-0060b643444d	EDAM:operation_3227	Variant Calling
pgxcs-ltohyy4z	pgxbs-kftvi9v3	pgxind-kftx3oek	pgx:TCGA.53076e0c-46b7-4b5a-8082-2c14fabbfa73	EDAM:operation_3227	Variant Calling
pgxcs-ltoheczd	pgxbs-kftvhvye	pgxind-kftx3sdn	pgx:TCGA.75448068-ded8-42f0-bb99-6d1c4b3ffa4e	EDAM:operation_3227	Variant Calling
pgxcs-ltoh9ppf	pgxbs-kftvhvyy	pgxind-kftx3sdx	pgx:TCGA.554cd9e3-7bf0-4d5b-a389-d258a8f46073	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7exl	pgxbs-kftvho04	pgxind-kftx3mjl	pgx:TCGA.a64a7cb8-ba30-45a3-b1dc-2a62d6b1919f	EDAM:operation_3227	Variant Calling
pgxcs-ltoh877a	pgxbs-kftvho56	pgxind-kftx3mob	pgx:TCGA.2892b681-6001-4124-ae86-3363be75463b	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3msp	pgxbs-kftvi3f0	pgxind-kftx3vnm	pgx:TCGA.7cac4663-b026-4cee-84a4-866ee8e1447c	EDAM:operation_3227	Variant Calling
pgxcs-ltohqw3g	pgxbs-kftvi9ww	pgxind-kftx3j9h	pgx:TCGA.0d719f58-1572-4d51-9360-8ced507c4f94	EDAM:operation_3227	Variant Calling
pgxcs-ltohlpxq	pgxbs-kftvi8u3	pgxind-kftx3mae	pgx:TCGA.9ec5013e-aabb-487a-87d7-49b4b6bd0f6a	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8fy1	pgxbs-kftvhsu9	pgxind-kftx3m3p	pgx:TCGA.43f2cdb0-e5f0-4586-808a-fc0ef3313aa0	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9med	pgxbs-kftvhxym	pgxind-kftx3l1p	pgx:TCGA.f9029956-e7fb-447a-9b6a-ea3dd2acadf4	EDAM:operation_3227	Variant Calling
pgxcs-ltohiddx	pgxbs-kftvhxvr	pgxind-kftx3kvh	pgx:TCGA.f8b5247f-5276-4189-9041-2d914482d539	EDAM:operation_3227	Variant Calling
pgxcs-ltohxhhg	pgxbs-kftvho6p	pgxind-kftx3ipx	pgx:TCGA.108f6aeb-833e-45a1-81fc-4b0b8e3c7163	EDAM:operation_3227	Variant Calling
pgxcs-ltohmzq7	pgxbs-kftvhuf6	pgxind-kftx3pka	pgx:TCGA.4f49dbb4-c734-432e-8952-6c2daad9545b	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9y1g	pgxbs-kftvi8qb	pgxind-kftx3q33	pgx:TCGA.ade256d3-7ad5-441c-ad53-ab635b1668e4	EDAM:operation_3227	Variant Calling
pgxcs-ltohldnz	pgxbs-kftvhv0o	pgxind-kftx3rsa	pgx:TCGA.a2e395f0-f1ae-4f84-a769-f6215412a153	EDAM:operation_3227	Variant Calling
pgxcs-ltohhcen	pgxbs-kftvhq9x	pgxind-kftx3okz	pgx:TCGA.24fb408b-5259-4928-ad19-02b8add76539	EDAM:operation_3227	Variant Calling
pgxcs-ltohq0o1	pgxbs-kftvhwtn	pgxind-kftx3swt	pgx:TCGA.ee7bbee7-b6f5-49cb-8a25-b7b6ccf2710b	EDAM:operation_3227	Variant Calling
pgxcs-ltohehym	pgxbs-kftvhiyz	pgxind-kftx3gy7	pgx:TCGA.cd43784d-8829-4cac-819f-d2960c5409cb	EDAM:operation_3227	Variant Calling
pgxcs-ltoifluk	pgxbs-kftvi617	pgxind-kftx3vh5	pgx:TCGA.0382e297-1b96-433b-9440-6811d685b13b	EDAM:operation_3227	Variant Calling
pgxcs-ltoij1oj	pgxbs-kftvhki4	pgxind-kftx3ioz	pgx:TCGA.ba9e5603-bb1d-4aa8-93e4-40043164f143	EDAM:operation_3227	Variant Calling
pgxcs-ltohva1x	pgxbs-kftvhj13	pgxind-kftx3h0d	pgx:TCGA.5ccdb785-e2a2-4ae9-a630-46e51de20be5	EDAM:operation_3227	Variant Calling
pgxcs-ltohvzzp	pgxbs-kftvhtki	pgxind-kftx3r1e	pgx:TCGA.a2e3ca88-9ff0-44ad-8c5a-ca4c7b404de6	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3jbc	pgxbs-kftvhmar	pgxind-kftx3gaw	pgx:TCGA.e957973b-0b41-484f-9f16-a112bed3107e	EDAM:operation_3227	Variant Calling
pgxcs-ltohzowr	pgxbs-kftvhq33	pgxind-kftx3of3	pgx:TCGA.b48d226e-610a-40dc-b62a-6db863a7366c	EDAM:operation_3227	Variant Calling
pgxcs-ltohz3ws	pgxbs-kftvi2zy	pgxind-kftx3hxc	pgx:TCGA.5bb2ea1d-5646-45f4-844a-2dc775eb788b	EDAM:operation_3227	Variant Calling
pgxcs-ltoh98re	pgxbs-kftvhiyf	pgxind-kftx3gxj	pgx:TCGA.c6d64d80-c8aa-494a-8c0e-8640beebdfc9	EDAM:operation_3227	Variant Calling
pgxcs-ltoi664w	pgxbs-kftvhmhz	pgxind-kftx3l1r	pgx:TCGA.1cd136b5-dbf8-4443-a264-8e08b92db4e7	EDAM:operation_3227	Variant Calling
pgxcs-ltohu7ck	pgxbs-kftvhvs1	pgxind-kftx3s99	pgx:TCGA.9bb4006b-fefc-412d-b0df-f11edc00495f	EDAM:operation_3227	Variant Calling
pgxcs-ltohg2v1	pgxbs-kftvi5co	pgxind-kftx3kuz	pgx:TCGA.530315de-d048-40f6-b0cc-3c7fb9875e46	EDAM:operation_3227	Variant Calling
pgxcs-ltohs5kb	pgxbs-kftvi0b6	pgxind-kftx3obr	pgx:TCGA.99095138-b471-48d0-aed9-dd8afc8ded68	EDAM:operation_3227	Variant Calling
pgxcs-ltoh8d8n	pgxbs-kftvhnb2	pgxind-kftx3lva	pgx:TCGA.e8e363d0-d9ea-478f-880c-7aded5846237	EDAM:operation_3227	Variant Calling
pgxcs-ltoibp4r	pgxbs-kftvhwu8	pgxind-kftx3hz3	pgx:TCGA.09808dcb-1011-43ff-8782-5a367df02a3c	EDAM:operation_3227	Variant Calling
pgxcs-ltoidsrm	pgxbs-kftvi9wb	pgxind-kftx3nht	pgx:TCGA.96b6826d-8a4c-45f5-8cd3-b5988aa5fd0e	EDAM:operation_3227	Variant Calling
pgxcs-ltoh9ozo	pgxbs-kftvhlnd	pgxind-kftx3jxd	pgx:TCGA.03dbe49d-ebb4-404e-87aa-bb448713959b	EDAM:operation_3227	Variant Calling
pgxcs-ltoi46wr	pgxbs-kftvhvmc	pgxind-kftx3s5j	pgx:TCGA.abcf54fe-d93e-4c3b-acd0-757cdd6a3d3b	EDAM:operation_3227	Variant Calling
pgxcs-ltohf4bb	pgxbs-kftvi36o	pgxind-kftx3ih7	pgx:TCGA.22ed7c92-0d19-4cc9-a3d2-ac96c2aaa9dd	EDAM:operation_3227	Variant Calling
pgxcs-ltohce1b	pgxbs-kftvhrb4	pgxind-kftx3pdu	pgx:TCGA.7579e91b-80df-4ab7-a775-e33418d17b1f	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6ypt	pgxbs-kftvhnhq	pgxind-kftx3m1w	pgx:TCGA.44edd11b-d508-4bc1-b53e-c2c37df143be	EDAM:operation_3227	Variant Calling
pgxcs-ltoi5vc6	pgxbs-kftvhwfe	pgxind-kftx3sol	pgx:TCGA.0c12ea89-eeb4-4865-91eb-10cf75884c21	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6w23	pgxbs-kftvhsnr	pgxind-kftx3qe3	pgx:TCGA.82e7493d-1346-4598-91c9-a5582b337c21	EDAM:operation_3227	Variant Calling
pgxcs-ltoim7n8	pgxbs-kftvi7qh	pgxind-kftx3syf	pgx:TCGA.08d8f333-08f9-4268-99b7-61f7b057f542	EDAM:operation_3227	Variant Calling
pgxcs-ltoho2fb	pgxbs-kftvhigo	pgxind-kftx3gcz	pgx:TCGA.01e18722-e4e2-42a3-a8c4-3ca7bee2edf5	EDAM:operation_3227	Variant Calling
pgxcs-ltohaznc	pgxbs-kftvi8r1	pgxind-kftx3w2t	pgx:TCGA.387f3824-23a9-4acb-b330-ea2573f8dc0d	EDAM:operation_3227	Variant Calling
pgxcs-ltoil5kz	pgxbs-kftvhw2v	pgxind-kftx3gea	pgx:TCGA.9d57624f-2b29-4608-85c0-28dab5c473eb	EDAM:operation_3227	Variant Calling
pgxcs-ltoibzv5	pgxbs-kftvhsrf	pgxind-kftx3qgy	pgx:TCGA.06072b6c-841f-493a-9db0-6b555e692b2c	EDAM:operation_3227	Variant Calling
pgxcs-ltoht7ek	pgxbs-kftvi4rr	pgxind-kftx3uu3	pgx:TCGA.a7e71eac-1768-4fc2-8eba-1576d22e0f43	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6n42	pgxbs-kftvi3nn	pgxind-kftx3jaw	pgx:TCGA.7bd968be-14ae-4a63-96d5-814d16072818	EDAM:operation_3227	Variant Calling
pgxcs-ltoid8hl	pgxbs-kftvi094	pgxind-kftx3nls	pgx:TCGA.a863236e-3fd1-42b5-a3eb-49f91bb072e7	EDAM:operation_3227	Variant Calling
pgxcs-ltohlgbf	pgxbs-kftvi6ft	pgxind-kftx3qoy	pgx:TCGA.ded0f767-9cee-4f1d-8e91-cb242d30b57e	EDAM:operation_3227	Variant Calling
pgxcs-ltohlcke	pgxbs-kftvi9mp	pgxind-kftx3j2b	pgx:TCGA.5bc98578-e4c7-4be8-89df-f26aa5d545a9	EDAM:operation_3227	Variant Calling
pgxcs-ltoi2w95	pgxbs-kftvhqr8	pgxind-kftx3iwn	pgx:TCGA.ab63fd64-07e1-432c-b904-57adbc7b95db	EDAM:operation_3227	Variant Calling
pgxcs-ltoi78cs	pgxbs-kftvhyhh	pgxind-kftx3ttx	pgx:TCGA.3aa33e48-1d5b-4c1f-a1dd-e663c3e9ded8	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6yd0	pgxbs-kftvhp8b	pgxind-kftx3fkj	pgx:TCGA.04c9a370-2813-4104-98c7-4948d27dacb3	EDAM:operation_3227	Variant Calling
pgxcs-ltoh98ed	pgxbs-kftvhitc	pgxind-kftx3grt	pgx:TCGA.9fcabda1-ea79-4188-8b3f-7d0fd060a819	EDAM:operation_3227	Variant Calling
pgxcs-ltohedil	pgxbs-kftvi2rc	pgxind-kftx3fmv	pgx:TCGA.608afc7c-7400-4791-b23d-1e211026a150	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6pt1	pgxbs-kftvhq1z	pgxind-kftx3oee	pgx:TCGA.e1a1b0fa-4cae-4542-9dfb-0a7569bd60f3	EDAM:operation_3227	Variant Calling
pgxcs-ltoil142	pgxbs-kftvhrul	pgxind-kftx3psv	pgx:TCGA.ff3e53e7-90be-48ce-b729-9a30fc7fce92	EDAM:operation_3227	Variant Calling
pgxcs-ltohaz3s	pgxbs-kftvhy8j	pgxind-kftx3tp8	pgx:TCGA.aaff78f7-32d0-4e1c-92de-b0184e641cb3	EDAM:operation_3227	Variant Calling
pgxcs-ltoi5q0i	pgxbs-kftvhm80	pgxind-kftx3ki0	pgx:TCGA.c19f21cb-4036-4cc2-9ad5-b805ca7f873c	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8nr2	pgxbs-kftvhqnk	pgxind-kftx3ovi	pgx:TCGA.95115646-d495-40a4-9770-6700778e4ca9	EDAM:operation_3227	Variant Calling
pgxcs-ltohz3je	pgxbs-kftvhyq5	pgxind-kftx3o41	pgx:TCGA.dcff683d-629e-4e67-9e9f-ce5752a2b276	EDAM:operation_3227	Variant Calling
pgxcs-ltoi4s6w	pgxbs-kftvhpuh	pgxind-kftx3o7t	pgx:TCGA.be9a81d4-4b45-4a99-ab60-3744f02f4309	EDAM:operation_3227	Variant Calling
pgxcs-ltohdkbw	pgxbs-kftvhnez	pgxind-kftx3lz4	pgx:TCGA.3c5359ef-7c74-4064-a013-59b35be99746	EDAM:operation_3227	Variant Calling
pgxcs-ltoii0oy	pgxbs-kftvhioa	pgxind-kftx3gm1	pgx:TCGA.d3950f7b-a687-419e-9ad4-ea36c7de4c5d	EDAM:operation_3227	Variant Calling
pgxcs-ltoil7yw	pgxbs-kftvi53r	pgxind-kftx3jik	pgx:TCGA.85339f51-85c1-4c2e-966e-cde3d0cfac91	EDAM:operation_3227	Variant Calling
