ICD-O Code	Level	Term Type	Term type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT String (Preferred term)
C47.9	Related	RT	Related term	Sympathetic nervous system, NOS	C0039044	C12795	Sympathetic Nervous System
C48	3	HT	Hierarchical term	RETROPERITONEUM AND PERITONEUM	CL018479		
C48.0	4	PT	Preferred term	Retroperitoneum	C0035359	C12298	Retroperitoneum
C48.0	Related	RT	Related term	Periadrenal tissue	C0229569		
C48.0	Related	RT	Related term	Perinephric tissue	C0227636		
C48.0	Related	RT	Related term	Peripancreatic tissue	C0227593		
C48.0	Related	RT	Related term	Perirenal tissue	C0227636		
C48.0	Related	RT	Related term	Retrocecal tissue	C0227345		
C48.0	Related	RT	Related term	Retroperitoneal tissue	CL018480		
C48.1	4	PT	Preferred term	Specified parts of peritoneum	CL018481		
C48.1	Related	RT	Related term	Mesentery	C0025474	C33103	Mesentery
C48.1	Related	RT	Related term	Mesoappendix	C0230257		
C48.1	Related	RT	Related term	Mesocolon	C0025483		
C48.1	Related	RT	Related term	Omentum	C0028977	C33209	Omentum
C48.1	Related	RT	Related term	Pelvic peritoneum	C0230295		
C48.1	Related	RT	Related term	Rectouterine pouch	C0013075	C113599	Cul-de-sac
C48.1	Synonym	SY	Synonym	Cul de sac	C0013075	C113599	Cul-de-sac
C48.1	Synonym	SY	Synonym	Pouch of Douglas	C0013075	C113599	Cul-de-sac
C48.2	4	PT	Preferred term	Peritoneum, NOS	C0031153	C12770	Peritoneum
C48.2	Related	RT	Related term	Peritoneal cavity	C1704247	C12769	Peritoneal Cavity
C48.8	4	PT	Preferred term	Overlapping lesion of retroperitoneum and peritoneum	CL018483		
C49	3	HT	Hierarchical term	CONNECTIVE, SUBCUTANEOUS AND OTHER SOFT TISSUES	CL497937		
C49.0	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of head, face, and neck	CL018485		
C49.0	Related	RT	Related term	Auricular cartilage	C0229320		
C49.0	Related	RT	Related term	Carotid artery	C0007272	C12687	Carotid Artery
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of cervical region	CL018494		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of cheek	CL018486		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of chin	CL018487		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of face	CL018488		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of forehead	CL018489		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of head	CL018490		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of neck	CL018491		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of pterygoid fossa	CL018495		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of scalp	CL018492		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of supraclavicular region	CL018496		
C49.0	Related	RT	Related term	Connective, subcutaneous and other soft tissues of temple	CL018493		
C49.0	Related	RT	Related term	Masseter muscle	C0024876	C13074	Masseter Muscle
C49.0	Related	RT	Related term	Sternocleidomastoid muscle	C0224153	C33616	Sternocleidomastoid Muscle
C49.0	Synonym	SY	Synonym	Cartilage of ear	C0229320		
C49.1	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of upper limb and shoulder	CL018497		
C49.1	Related	RT	Related term	Biceps brachii muscle	C0559499	C32200	Biceps
C49.1	Related	RT	Related term	Brachialis muscle	C0224240	C53149	Brachialis
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of antecubital space	CL018498		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of arm	CL018499		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of elbow	CL018500		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of finger	CL018501		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of forearm	CL018502		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of hand	CL018503		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of shoulder	CL018504		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of thumb	CL018505		
C49.1	Related	RT	Related term	Connective, subcutaneous and other soft tissues of wrist	CL018506		
C49.1	Related	RT	Related term	Coracobrachialis muscle	C0224246	C53151	Coracobrachialis
C49.1	Related	RT	Related term	Deltoideus muscle	CL018507		
C49.1	Related	RT	Related term	Palmar aponeurosis	C0225244	C33251	Palmar Fascia
C49.1	Related	RT	Related term	Palmar fascia	C0225244	C33251	Palmar Fascia
C49.1	Related	RT	Related term	Radial artery	C0162857	C12838	Radial Artery
C49.1	Related	RT	Related term	Triceps brachii muscle	C0559502	C90604	Triceps Brachii
C49.1	Related	RT	Related term	Ulnar artery	C0162858	C12839	Ulnar Artery
C49.2	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of lower limb and hip	CL018508		
C49.2	Related	RT	Related term	Biceps femoris muscle	C0224449	C53147	Biceps Femoris
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of ankle	CL018509		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of calf	CL018510		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of foot	CL018511		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of heel	CL018512		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of hip	CL018513		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of knee	CL018514		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of leg	CL018515		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of popliteal space	CL018516		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of thigh	CL018517		
C49.2	Related	RT	Related term	Connective, subcutaneous and other soft tissues of toe	CL018518		
C49.2	Related	RT	Related term	Femoral artery	C0015801	C12715	Femoral Artery
C49.2	Related	RT	Related term	Gastrocnemius muscle	C0242691	C32666	Gastrocnemius Muscle
C49.2	Related	RT	Related term	Plantar aponeurosis	C1261337		
C49.2	Related	RT	Related term	Plantar fascia	C0549109	C33325	Plantar Fascia
C49.2	Related	RT	Related term	Quadriceps femoris muscle	C0224440	C33441	Quadriceps Muscle of the Thigh
C49.3	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of thorax	CL018519		
C49.3	Related	RT	Related term	Aorta, NOS	C0003483	C12669	Aorta
C49.3	Related	RT	Related term	Axillary artery	C0004455	C32169	Axillary Artery
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of axilla	CL018520		
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of chest wall	CL018522		
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of chest	CL018521		
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of infraclavicular region	CL018524		
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of scapular region	CL018525		
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of thoracic wall	CL018523		
C49.3	Related	RT	Related term	Connective, subcutaneous and other soft tissues of thorax	CL018519		
C49.3	Related	RT	Related term	Diaphragm	C0011980	C12702	Diaphragm
C49.3	Related	RT	Related term	Intercostal muscle	C0021724	C32824	Intercostal Muscle
C49.3	Related	RT	Related term	Internal mammary artery	C0226276	C52941	Internal Mammary Artery
C49.3	Related	RT	Related term	Latissimus dorsi muscle	C0224362	C33150	Musculus Latissimus Dorsi
C49.3	Related	RT	Related term	Pectoralis major muscle	C0585574	C33284	Pectoralis Major
C49.3	Related	RT	Related term	Subclavian artery	C0038530	C33643	Subclavian Artery
C49.3	Related	RT	Related term	Superior vena cava	C0042459	C12816	Superior Vena Cava
C49.3	Related	RT	Related term	Thoracic duct	C0039979	C33768	Thoracic Duct
C49.3	Related	RT	Related term	Trapezius muscle	C0224361	C33809	Trapezius Muscle
C49.4	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of abdomen	CL018527		
C49.4	Related	RT	Related term	Abdominal aorta	C0003484	C32038	Abdominal Aorta
C49.4	Related	RT	Related term	Abdominal vena cava	CL018530		
C49.4	Related	RT	Related term	Abdominal wall muscle	C0000739	C32040	Abdominal Muscle
C49.4	Related	RT	Related term	Celiac artery	C0007569	C52846	Celiac Artery
C49.4	Related	RT	Related term	Connective, subcutaneous and other soft tissues of abdomen	CL018527		
C49.4	Related	RT	Related term	Connective, subcutaneous and other soft tissues of abdominal wall	CL018528		
C49.4	Related	RT	Related term	Connective, subcutaneous and other soft tissues of umbilicus	CL018529		
C49.4	Related	RT	Related term	Iliopsoas muscle	C0224417	C32764	Iliopsoas Muscle
C49.4	Related	RT	Related term	Inferior vena cava	C0042458	C12815	Inferior Vena Cava
C49.4	Related	RT	Related term	Mesenteric artery	C0025465	C52975	Mesenteric Artery
C49.4	Related	RT	Related term	Psoas muscle	C0085221	C33422	Psoas Muscle
C49.4	Related	RT	Related term	Rectus abdominis muscle	C0206066	C33449	Rectus Abdominis
C49.4	Related	RT	Related term	Renal artery	C0035065	C12778	Renal Artery
C49.4	Related	RT	Related term	Vena cava, NOS	C0042460	C12817	Vena Cava
C49.5	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of pelvis	CL018531		
C49.5	Related	RT	Related term	Connective, subcutaneous and other soft tissues of buttock	CL018532		
C49.5	Related	RT	Related term	Gluteus maximus muscle	C0224424	C52560	Gluteus Maximus
C49.5	Related	RT	Related term	Iliac artery	C0020887	C12733	Iliac Artery
C49.5	Related	RT	Related term	Iliac vein	C0020888	C12734	Iliac Vein
C49.5	Related	RT	Related term	gluteal region	C0282082		
C49.5	Related	RT	Related term	groin	C0018246	C12726	Inguinal Region
C49.5	Related	RT	Related term	inguinal region	C0018246	C12726	Inguinal Region
C49.5	Related	RT	Related term	perineum	C0031066	C33301	Perineum
C49.5	Related	RT	Related term	sacrococcygeal region	C0036035		
C49.6	4	PT	Preferred term	Connective, subcutaneous and other soft tissues of trunk NOS	CL018538		
C49.6	Related	RT	Related term	Connective, subcutaneous and other soft tissues of back	CL018539		
C49.6	Related	RT	Related term	Connective, subcutaneous and other soft tissues of flank	CL018540		
C49.6	Related	RT	Related term	Connective, subcutaneous and other soft tissues of trunk	CL018538		
C49.8	4	PT	Preferred term	Overlapping lesion of connective, subcutaneous and other soft tissues	CL018541		
C49.9	4	PT	Preferred term	Connective, subcutaneous and other soft tissues, NOS	CL497937		
C49.9	Related	RT	Related term	Adipose tissue, NOS	C0001527	C12472	Adipose Tissue
C49.9	Related	RT	Related term	Aponeurosis, NOS	C0225205	C32133	Aponeurosis
C49.9	Related	RT	Related term	Artery, NOS	C0003842	C12372	Artery
C49.9	Related	RT	Related term	Blood vessel, NOS	C0005847	C12679	Blood Vessel
C49.9	Related	RT	Related term	Bursa, NOS	C0006441	C33717	Synovial Bursa
C49.9	Related	RT	Related term	Connective tissue, NOS	C0009780	C12374	Connective Tissue
C49.9	Related	RT	Related term	Fascia, NOS	C0015641	C13108	Fascia
C49.9	Related	RT	Related term	Fatty tissue, NOS	C0001527	C12472	Adipose Tissue
C49.9	Related	RT	Related term	Fibrous tissue, NOS	C0225331	C129504	Fibrous Tissue
C49.9	Related	RT	Related term	Ligament, NOS	C0023685	C13046	Ligament
C49.9	Related	RT	Related term	Lymphatic, NOS	C1522604	C25267	Lymphatic
C49.9	Related	RT	Related term	Muscle, NOS	C0026845	C13056	Muscle
C49.9	Related	RT	Related term	Skeletal muscle, NOS	C0242692	C13050	Skeletal Muscle Tissue
C49.9	Related	RT	Related term	Subcutaneous tissue, NOS	C0278403	C33645	Subcutis
C49.9	Related	RT	Related term	Synovia, NOS	C0039097	C33718	Synovial Fluid
C49.9	Related	RT	Related term	Tendon sheath, NOS	C0224856	C96299	Tendon Sheath
C49.9	Related	RT	Related term	Tendon, NOS	C0039508	C13045	Tendon
C49.9	Related	RT	Related term	Vein, NOS	C0042449	C12814	Vein
C49.9	Related	RT	Related term	Vessel, NOS	C0042591		
C50	3	HT	Hierarchical term	BREAST	C0006141	C12971	Breast
C50.0	4	PT	Preferred term	Nipple	C0028109	C12299	Nipple
C50.0	Related	RT	Related term	Areola	C0222608	C12368	Areola
C50.1	4	PT	Preferred term	Central portion of breast	C0222595	C12300	Central Portion of the Breast
C50.2	4	PT	Preferred term	Upper-inner quadrant of breast	C0222596	C12301	Upper-Inner Quadrant of the Breast
C50.3	4	PT	Preferred term	Lower-inner quadrant of breast	C0222597	C12302	Lower-Inner Quadrant of the Breast
C50.4	4	PT	Preferred term	Upper-outer quadrant of breast	C0222598	C12303	Upper-Outer Quadrant of the Breast
C50.5	4	PT	Preferred term	Lower-outer quadrant of breast	C0222599	C12304	Lower-Outer Quadrant of the Breast
C50.6	4	PT	Preferred term	Axillary tail of breast	C0222611	C12305	Axillary Tail of the Breast
C50.6	Synonym	SY	Synonym	Tail of breast, NOS	C0222611	C12305	Axillary Tail of the Breast
C50.8	4	PT	Preferred term	Overlapping lesion of breast	CL018543		
C50.8	Related	RT	Related term	Inner breast	CL018544		
C50.8	Related	RT	Related term	Lower breast	CL018545		
C50.8	Related	RT	Related term	Midline of breast	CL018546		
C50.8	Related	RT	Related term	Outer breast	CL018547		
C50.8	Related	RT	Related term	Upper breast	CL018548		
C50.9	4	PT	Preferred term	Breast, NOS	C0006141	C12971	Breast
C50.9	Synonym	SY	Synonym	Mammary gland	C0929301	C12367	Mammary Gland
C51-C58	2	HT	Hierarchical term	FEMALE GENITAL ORGANS	C0017421	C61600	Female Genitalia
C51	3	HT	Hierarchical term	VULVA	C0042993	C12408	Vulva
C51.0	4	PT	Preferred term	Labium majus	C0227760	C12306	Labium Majus
C51.0	Related	RT	Related term	Bartholin gland	C0004768	C12675	Bartholin Gland
C51.0	Related	RT	Related term	Skin of labia majora	CL018549		
C51.0	Synonym	SY	Synonym	Labia majora, NOS	C0227760	C12306	Labium Majus
C51.1	4	PT	Preferred term	Labium minus	C0227766	C12307	Labium Minus
C51.1	Synonym	SY	Synonym	Labia minora	C0227766	C12307	Labium Minus
C51.2	4	PT	Preferred term	Clitoris	C0008984	C12308	Clitoris
C51.8	4	PT	Preferred term	Overlapping lesion of vulva	CL018550		
C51.9	4	PT	Preferred term	Vulva, NOS	C0042993	C12408	Vulva
C51.9	Related	RT	Related term	External female genitalia	C0227747		
C51.9	Related	RT	Related term	Fourchette	C0458840		
C51.9	Related	RT	Related term	Labia, NOS	C0227759	C52559	Labium
C51.9	Related	RT	Related term	Labium, NOS	C0227759	C52559	Labium
C51.9	Related	RT	Related term	Mons pubis	C0230190	C33139	Mons Pubis
C51.9	Related	RT	Related term	Mons veneris	C0230190	C33139	Mons Pubis
C51.9	Related	RT	Related term	Pudendum	C0738643		
C51.9	Related	RT	Related term	Skin of vulva	C1261042		
C52	3	HT	Hierarchical term	VAGINA	C0042232	C12407	Vagina
C52.9	4	PT	Preferred term	Vagina, NOS	C0042232	C12407	Vagina
C52.9	Related	RT	Related term	Fornix of vagina	C0227794	C33848	Vaginal Fornix
C52.9	Related	RT	Related term	Gartner duct	C0086336	C32485	Duct of Gartner
C52.9	Related	RT	Related term	Hymen	C0020412	C32750	Hymen
C52.9	Related	RT	Related term	Vaginal vault	C0227794	C33848	Vaginal Fornix
C53	3	HT	Hierarchical term	CERVIX UTERI	C0007874	C12311	Cervix Uteri
C53.0	4	PT	Preferred term	Endocervix	C0227837	C12309	Endocervix
C53.0	Related	RT	Related term	Cervical canal	C0227841		
C53.0	Related	RT	Related term	Endocervical canal	C0227841		
C53.0	Related	RT	Related term	Endocervical gland	C2724437	C32296	Cervical Gland
C53.0	Related	RT	Related term	Nabothian gland	CL018553		
C53.0	Synonym	SY	Synonym	Internal os	C0227842		
C53.1	4	PT	Preferred term	Exocervix	C0227829	C12310	Ectocervix
C53.1	Related	RT	Related term	External os	C0227833		
C53.8	4	PT	Preferred term	Overlapping lesion of cervix uteri	CL018554		
C53.8	Related	RT	Related term	Cervical stump	CL018555		
C53.8	Related	RT	Related term	Squamocolumnar junction of cervix	C0459469		
C53.9	4	PT	Preferred term	Cervix uteri	C0007874	C12311	Cervix Uteri
C53.9	Synonym	SY	Synonym	Cervix, NOS	C0007874	C12311	Cervix Uteri
C53.9	Synonym	SY	Synonym	Uterine cervix	C0007874	C12311	Cervix Uteri
C54	3	HT	Hierarchical term	CORPUS UTERI	C0227813	C12316	Corpus Uteri
C54.0	4	PT	Preferred term	Isthmus uteri	C1288329	C12312	Isthmus Uteri
C54.0	Synonym	SY	Synonym	Lower uterine segment	C1288329	C12312	Isthmus Uteri
C54.1	4	PT	Preferred term	Endometrium	C0014180	C12313	Endometrium
C54.1	Related	RT	Related term	Endometrial gland	C0227848	C33842	Uterine Gland
C54.1	Related	RT	Related term	Endometrial stroma	C0227849	C32516	Endometrial Stroma
C54.2	4	PT	Preferred term	Myometrium	C0027088	C12314	Myometrium
C54.3	4	PT	Preferred term	Fundus uteri	C0227817	C12315	Fundus Uteri
C54.8	4	PT	Preferred term	Overlapping lesion of corpus uteri	CL018557		
C54.9	4	PT	Preferred term	Corpus uteri	C0227813	C12316	Corpus Uteri
C54.9	Synonym	SY	Synonym	Body of uterus	C0227813	C12316	Corpus Uteri
C55	3	HT	Hierarchical term	UTERUS, NOS	C0042149	C12405	Uterus
C55.9	4	PT	Preferred term	Uterus, NOS	C0042149	C12405	Uterus
C55.9	Synonym	SY	Synonym	Uterine, NOS	C0042149	C12405	Uterus
C56	3	HT	Hierarchical term	OVARY	C0029939	C12404	Ovary
C56.9	4	PT	Preferred term	Ovary	C0029939	C12404	Ovary
C57	3	HT	Hierarchical term	OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS	CL025605		
C57.0	4	PT	Preferred term	Fallopian tube	C0015560	C12403	Fallopian Tube
C57.0	Synonym	SY	Synonym	Uterine tube	C0015560	C12403	Fallopian Tube
C57.1	4	PT	Preferred term	Broad ligament	C0006205	C12318	Broad Ligament
C57.1	Related	RT	Related term	Mesovarium	C0230310	C92440	Mesovarium
C57.1	Related	RT	Related term	Parovarian region	C0227899		
C57.2	4	PT	Preferred term	Round ligament	C0035877	C34009	Round Ligament of the Uterus
C57.3	4	PT	Preferred term	Parametrium	C0227822	C12320	Parametrium
C57.3	Related	RT	Related term	Uterine ligament	C0230299	C61360	Uterine Ligament
C57.3	Related	RT	Related term	Uterosacral ligament	C0230306		
C57.4	4	PT	Preferred term	Uterine adnexa	C0001575	C12321	Appendage of the Uterus
C57.4	Related	RT	Related term	Adnexa, NOS	C0001575	C12321	Appendage of the Uterus
C57.7	4	PT	Preferred term	Other specified parts of female genital organs	CL102945		
C57.7	Synonym	SY	Synonym	Wolffian body	C0025492	C26467	Mesonephros
C57.7	Synonym	SY	Synonym	Wolffian duct	C0043204	C26469	Mesonephric Duct
C57.8	4	PT	Preferred term	Overlapping lesion of female genital organs	CL018562		
C57.8	Related	RT	Related term	Tubo-ovarian	C0456917		
C57.8	Related	RT	Related term	Utero-ovarian	CL098405		
C57.9	4	PT	Preferred term	Female genital tract, NOS	C0017421	C61600	Female Genitalia
C57.9	Related	RT	Related term	Female genitourinary tract, NOS	CL497886		
C57.9	Related	RT	Related term	Urethrovaginal septum	CL018563		
C57.9	Related	RT	Related term	Vesicocervical tissue	CL018564		
C57.9	Related	RT	Related term	Vesicovaginal septum	C0738219		
C57.9	Synonym	SY	Synonym	Female genital organs, NOS	C0017421	C61600	Female Genitalia
C58	3	HT	Hierarchical term	PLACENTA	C0032043	C13272	Placenta
C58.9	4	PT	Preferred term	Placenta	C0032043	C13272	Placenta
C58.9	Related	RT	Related term	Fetal membranes	C0015943		
C60-C63	2	HT	Hierarchical term	MALE GENITAL ORGANS	C0017422	C61599	Male Genitalia
C60	3	HT	Hierarchical term	PENIS	C0030851	C12409	Penis
C60.0	4	PT	Preferred term	Prepuce	C0227952	C33049	Male Prepuce
C60.0	Synonym	SY	Synonym	Foreskin	C0227952	C33049	Male Prepuce
C60.1	4	PT	Preferred term	Glans penis	C0227948	C12324	Glans Penis
C60.2	4	PT	Preferred term	Body of penis	C0227936	C12325	Body of the Penis
C60.2	Synonym	SY	Synonym	Corpus cavernosum	C0227936	C12325	Body of the Penis
C60.2	Synonym	SY	Synonym	Corpus of penis	C0227936	C12325	Body of the Penis
C60.8	4	PT	Preferred term	Overlapping lesion of penis	CL018566		
C60.9	4	PT	Preferred term	Penis, NOS	C0030851	C12409	Penis
C60.9	Related	RT	Related term	Skin of penis	C0222193		
C61	3	HT	Hierarchical term	PROSTATE GLAND	C0033572	C12410	Prostate Gland
C61.9	4	PT	Preferred term	Prostate gland	C0033572	C12410	Prostate Gland
C61.9	Synonym	SY	Synonym	Prostate, NOS	C0033572	C12410	Prostate Gland
C62	3	HT	Hierarchical term	TESTIS	C0039597	C12412	Testis
C62.0	4	PT	Preferred term	Undescended testis	C0010417	C12326	Undescended Testes
C62.0	Synonym	SY	Synonym	Ectopic testis	C0302889		
C62.0	Synonym	SY	Synonym	Retained testis	C0010417	C12326	Undescended Testes
C62.1	4	PT	Preferred term	Descended testis	CL018568		
C62.1	Synonym	SY	Synonym	Scrotal testis	CL018568		
C62.9	4	PT	Preferred term	Testis, NOS	C0039597	C12412	Testis
C62.9	Synonym	SY	Synonym	Testicle, NOS	C0039597	C12412	Testis
C63	3	HT	Hierarchical term	OTHER AND UNSPECIFIED MALE GENITAL ORGANS	CL365219		
C63.0	4	PT	Preferred term	Epididymis	C0014533	C12328	Epididymis
C63.1	4	PT	Preferred term	Spermatic cord	C0037855	C12329	Spermatic Cord
C63.1	Related	RT	Related term	Vas deferens	C0042360	C12813	Vas Deferens
C63.2	4	PT	Preferred term	Scrotum, NOS	C0036471	C12785	Scrotum
C63.2	Related	RT	Related term	Skin of scrotum	C0222198		
C63.7	4	PT	Preferred term	Other specified parts of male genital organs	CL018571		
C63.7	Related	RT	Related term	Seminal vesicle	C0036628	C12787	Seminal Vesicle
C63.7	Related	RT	Related term	Tunica vaginalis	C0228014	C33822	Tunica Vaginalis
C63.8	4	PT	Preferred term	Overlapping lesion of male genital organs	CL018573		
C63.9	4	PT	Preferred term	Male genital organs, NOS	C0017422	C61599	Male Genitalia
C63.9	Related	RT	Related term	Male genitourinary tract, NOS	CL497888		
C63.9	Synonym	SY	Synonym	Male genital tract, NOS	CL497888		
C64-C68	2	HT	Hierarchical term	URINARY TRACT	C0042027		
C64	3	HT	Hierarchical term	KIDNEY	C0022646	C12415	Kidney
C64.9	4	PT	Preferred term	Kidney, NOS	C0022646	C12415	Kidney
C64.9	Synonym	SY	Synonym	Kidney parenchyma	C0227628		
C64.9	Synonym	SY	Synonym	Renal, NOS	CL317975	C25225	Renal
C65	3	HT	Hierarchical term	RENAL PELVIS	C0227666	C12887	Renal Pelvis
C65.9	4	PT	Preferred term	Renal pelvis	C0227666	C12887	Renal Pelvis
C65.9	Related	RT	Related term	Pelviureteric junction	C0227680	C106203	Ureteropelvic Junction
C65.9	Related	RT	Related term	Renal calyces	C0022651	C12927	Renal Calyx
C65.9	Related	RT	Related term	Renal calyx	C0022651	C12927	Renal Calyx
C65.9	Synonym	SY	Synonym	Pelvis of kidney	C0227666	C12887	Renal Pelvis
C66	3	HT	Hierarchical term	URETER	C0041951	C12416	Ureter
C66.9	4	PT	Preferred term	Ureter	C0041951	C12416	Ureter
C67	3	HT	Hierarchical term	BLADDER	C0005682	C12414	Bladder
C67.0	4	PT	Preferred term	Trigone of bladder	C0447586	C12331	Bladder Trigone
C67.1	4	PT	Preferred term	Dome of bladder	C1288328	C12332	Dome of the Bladder
C67.2	4	PT	Preferred term	Lateral wall of bladder	C0447583	C12333	Lateral Wall of the Bladder
C67.3	4	PT	Preferred term	Anterior wall of bladder	C0559280	C12334	Anterior Wall of the Bladder
C67.4	4	PT	Preferred term	Posterior wall of bladder	C0227701	C12335	Posterior Wall of the Bladder
C67.5	4	PT	Preferred term	Bladder neck	C0227716	C12336	Bladder Neck
C67.5	Related	RT	Related term	Internal urethral orifice	C0227717		
C67.6	4	PT	Preferred term	Ureteric orifice	C0447577	C12337	Ureteric Orifice
C67.7	4	PT	Preferred term	Urachus	C0041916	C12338	Urachus
C67.8	4	PT	Preferred term	Overlapping lesion of bladder	CL018574		
C67.9	4	PT	Preferred term	Bladder, NOS	C0005682	C12414	Bladder
C67.9	Synonym	SY	Synonym	Bladder wall, NOS	C0005682	C12414	Bladder
C67.9	Synonym	SY	Synonym	Urinary bladder, NOS	C0005682	C12414	Bladder
C68	3	HT	Hierarchical term	OTHER AND UNSPECIFIED URINARY ORGANS	C0227666	C12887	Renal Pelvis
C68.0	4	PT	Preferred term	Urethra	C0041967	C12417	Urethra
C68.0	Related	RT	Related term	Cowper gland	C0006366	C32395	Cowper Gland
C68.0	Related	RT	Related term	Prostatic utricle	C0227736	C63862	Prostatic Utricle
C68.0	Related	RT	Related term	Urethral gland	C1314737	C49311	Gland of Littre
C68.1	4	PT	Preferred term	Paraurethral gland	C0221315		
C68.8	4	PT	Preferred term	Overlapping lesion of urinary organs	CL018578		
C68.9	4	PT	Preferred term	Urinary system, NOS	C0042027		
C69-C72	2	HT	Hierarchical term	EYE, BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM	CL018579		
C69	3	HT	Hierarchical term	EYE AND ADNEXA	CL018580		
C69.0	4	PT	Preferred term	Conjunctiva	C0009758	C12341	Conjunctiva
C69.1	4	PT	Preferred term	Cornea, NOS	C0010031	C12342	Cornea
C69.1	Related	RT	Related term	Limbus of cornea	C0085376	C12823	Corneoscleral Limbus
C69.2	4	PT	Preferred term	Retina	C0035298	C12343	Retina
C69.3	4	PT	Preferred term	Choroid	C0008520	C12344	Choroid
C69.4	4	PT	Preferred term	Ciliary body	C0008779	C12345	Ciliary Body
C69.4	Related	RT	Related term	Crystalline lens	C0023317	C12743	Lens
C69.4	Related	RT	Related term	Eyeball	C0015392	C12401	Eye
C69.4	Related	RT	Related term	Intraocular	C1522223	C38255	Intraocular Route of Administration
C69.4	Related	RT	Related term	Iris	C0022077	C12737	Iris
C69.4	Related	RT	Related term	Sclera	C0036410	C12784	Sclera
C69.4	Related	RT	Related term	Uveal tract	C0042160	C12811	Uvea
C69.5	4	PT	Preferred term	Lacrimal gland	C0022907	C12346	Lacrimal Gland
C69.5	Related	RT	Related term	Lacrimal duct, NOS	C0459624		
C69.5	Related	RT	Related term	Lacrimal sac	C0229289	C32909	Lacrimal Sac
C69.5	Synonym	SY	Synonym	Nasal lacrimal duct	C0459624		
C69.5	Synonym	SY	Synonym	Nasolacrimal duct	C0027437	C33161	Nasolacrimal Duct
C69.6	4	PT	Preferred term	Orbit, NOS	C0029180	C12347	Orbit
C69.6	Related	RT	Related term	Autonomic nervous system of orbit	CL018586		
C69.6	Related	RT	Related term	Connective tissue of orbit	CL018587		
C69.6	Related	RT	Related term	Extraocular muscle	C0028863	C33199	Oculomotor Muscle
C69.6	Related	RT	Related term	Peripheral nerves of orbit	CL018588		
C69.6	Related	RT	Related term	Retrobulbar tissue	C0230066		
C69.6	Related	RT	Related term	Soft tissue of orbit	C0229088		
C69.8	4	PT	Preferred term	Overlapping lesion of eye and adnexa	CL018589		
C69.9	4	PT	Preferred term	Eye, NOS	C0015392	C12401	Eye
C70	3	HT	Hierarchical term	MENINGES	C0025285	C12348	Meninges
C70.0	4	PT	Preferred term	Cerebral meninges	C0228116	C12349	Cerebral Meninges
C70.0	Related	RT	Related term	Cranial dura mater	C0459393	C49332	Brain Dura Mater
C70.0	Related	RT	Related term	Cranial meninges	C0228116	C12349	Cerebral Meninges
C70.0	Related	RT	Related term	Cranial pia mater	C0228131		
C70.0	Related	RT	Related term	Falx cerebelli	C0228122	C32584	Falx Cerebelli
