NCIT:C3262	Neoplasm
NCIT:C5614	Malignant Cutaneous Granular Cell Tumor
NCIT:C4961	Malignant Peripheral Nervous System Neoplasm
NCIT:C3798	Malignant Peripheral Nerve Sheath Tumor
NCIT:C155987	Refractory Malignant Peripheral Nerve Sheath Tumor
NCIT:C162725	Refractory Epithelioid Malignant Peripheral Nerve Sheath Tumor
NCIT:C164313	NF1-Associated Malignant Peripheral Nerve Sheath Tumor
NCIT:C164314	Sporadic Malignant Peripheral Nerve Sheath Tumor
NCIT:C164316	Radiation-Induced Malignant Peripheral Nerve Sheath Tumor
NCIT:C4748	Malignant Melanotic Peripheral Nerve Sheath Tumor
NCIT:C6630	Malignant Melanotic Peripheral Nerve Sheath Tumor of the Mediastinum
NCIT:C6910	Melanotic Psammomatous Malignant Peripheral Nerve Sheath Tumor
NCIT:C5367	Cardiac Malignant Peripheral Nerve Sheath Tumor
NCIT:C6560	Glandular Malignant Peripheral Nerve Sheath Tumor
NCIT:C6561	Epithelioid Malignant Peripheral Nerve Sheath Tumor
NCIT:C162724	Recurrent Epithelioid Malignant Peripheral Nerve Sheath Tumor
NCIT:C6626	Mediastinal Malignant Peripheral Nerve Sheath Tumor
NCIT:C7814	Adult Malignant Peripheral Nerve Sheath Tumor
NCIT:C8094	Childhood Malignant Peripheral Nerve Sheath Tumor
NCIT:C8822	Metastatic Malignant Peripheral Nerve Sheath Tumor
NCIT:C8823	Recurrent Malignant Peripheral Nerve Sheath Tumor
NCIT:C9026	Low Grade Malignant Peripheral Nerve Sheath Tumor
NCIT:C9030	High Grade Malignant Peripheral Nerve Sheath Tumor
NCIT:C92647	Malignant Peripheral Nerve Sheath Tumor with Mesenchymal Differentiation
NCIT:C4335	Malignant Triton Tumor
NCIT:C4336	Malignant Granular Cell Tumor
NCIT:C6591	Peripheral Neuroblastoma
NCIT:C6964	Neuroblastoma of the Adrenal Gland and Sympathetic Nervous System
NCIT:C4827	Adrenal Gland Neuroblastoma
NCIT:C6594	Peripheral Ganglioneuroblastoma
NCIT:C6627	Mediastinal Ganglioneuroblastoma
NCIT:C7646	Adrenal Gland Ganglioneuroblastoma
NCIT:C157243	Adrenal Gland Ganglioneuroblastoma, Intermixed
NCIT:C157244	Adrenal Gland Ganglioneuroblastoma, Nodular
NCIT:C9341	Peripheral Primitive Neuroectodermal Tumor
NCIT:C142850	Refractory Peripheral Primitive Neuroectodermal Tumor
NCIT:C27471	Peripheral Primitive Neuroectodermal Tumor of Soft Tissues
NCIT:C27899	Recurrent Peripheral Primitive Neuroectodermal Tumor
NCIT:C27354	Recurrent Peripheral Primitive Neuroectodermal Tumor of Bone
NCIT:C27900	Recurrent Askin Tumor
NCIT:C27903	Localized Peripheral Primitive Neuroectodermal Tumor
NCIT:C27353	Localized Peripheral Primitive Neuroectodermal Tumor of Bone
NCIT:C27902	Localized Askin Tumor
NCIT:C7542	Askin Tumor
NCIT:C8776	Peripheral Primitive Neuroectodermal Tumor of Bone
NCIT:C36074	Metastatic Peripheral Primitive Neuroectodermal Tumor of Bone
NCIT:C5112	Autonomic Nervous System Neoplasm
NCIT:C3049	Ganglioneuroma
NCIT:C5427	Retroperitoneal Ganglioneuroma
NCIT:C157245	Adrenal Gland Ganglioneuroma
NCIT:C6632	Mediastinal Ganglioneuroma
NCIT:C66804	Ganglioneuromatosis
NCIT:C5429	Childhood Mediastinal Neurogenic Neoplasm
NCIT:C5502	Benign Peripheral Nerve Granular Cell Tumor
NCIT:C5822	Nerve Plexus Neoplasm
NCIT:C5823	Brachial Plexus Neoplasm
NCIT:C7018	Nerve Sheath Myxoma
NCIT:C156278	Cellular Nerve Sheath Myxoma
NCIT:C35562	Neuroepithelial, Perineurial, and Schwann Cell Neoplasm
NCIT:C3787	Neuroepithelial Neoplasm
NCIT:C121963	Cribriform Neuroepithelial Tumor
NCIT:C3059	Glioma
NCIT:C129325	Diffuse Glioma
NCIT:C3058	Glioblastoma
NCIT:C111691	Glioblastoma by Gene Expression Profile
NCIT:C111692	Proneural Glioblastoma
NCIT:C111693	Neural Glioblastoma
NCIT:C111694	Classical Glioblastoma
NCIT:C111695	Mesenchymal Glioblastoma
NCIT:C125890	Small Cell Glioblastoma
NCIT:C163960	Refractory Small Cell Glioblastoma
NCIT:C163961	Recurrent Small Cell Glioblastoma
NCIT:C126306	Recurrent Glioblastoma
NCIT:C115364	Recurrent Childhood Glioblastoma
NCIT:C115363	Recurrent Childhood Giant Cell Glioblastoma
NCIT:C115365	Recurrent Childhood Gliosarcoma
NCIT:C131209	Recurrent Gliosarcoma
NCIT:C157600	Recurrent Giant Cell Glioblastoma
NCIT:C129295	Glioblastoma, Not Otherwise Specified
NCIT:C129296	Glioblastoma with Primitive Neuronal Component
NCIT:C146734	Refractory Glioblastoma
NCIT:C163962	Refractory Gliosarcoma
NCIT:C167335	Glioblastoma, IDH-Mutant
NCIT:C170979	Metastatic Glioblastoma
NCIT:C39750	Glioblastoma, IDH-Wildtype
NCIT:C3796	Gliosarcoma
NCIT:C114968	Childhood Gliosarcoma
NCIT:C114759	Childhood Brain Stem Gliosarcoma
NCIT:C171013	Supratentorial Gliosarcoma
NCIT:C68701	Adult Gliosarcoma
NCIT:C9370	Adult Brain Stem Gliosarcoma
NCIT:C4325	Giant Cell Glioblastoma
NCIT:C114966	Childhood Giant Cell Glioblastoma
NCIT:C68702	Adult Giant Cell Glioblastoma
NCIT:C39751	Secondary Glioblastoma
NCIT:C4642	Brain Glioblastoma
NCIT:C147901	Childhood Brain Glioblastoma
NCIT:C5148	Infratentorial Glioblastoma
NCIT:C5097	Brain Stem Glioblastoma
NCIT:C5150	Cerebellar Glioblastoma
NCIT:C5149	Supratentorial Glioblastoma
NCIT:C5129	Diencephalic Glioblastoma
NCIT:C5151	Cerebral Glioblastoma
NCIT:C9375	Adult Brain Glioblastoma
NCIT:C5136	Childhood Glioblastoma
NCIT:C9094	Adult Glioblastoma
NCIT:C27183	Adult Spinal Cord Glioblastoma
NCIT:C92549	Multifocal Glioblastomas
NCIT:C3288	Oligodendroglioma
NCIT:C129318	Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted
NCIT:C129319	Oligodendroglioma, Not Otherwise Specified
NCIT:C160737	Recurrent Oligodendroglioma
NCIT:C115371	Recurrent Childhood Oligodendroglioma
NCIT:C4014	Adult Oligodendroglioma
NCIT:C9376	Adult Brain Oligodendroglioma
NCIT:C4045	Childhood Oligodendroglioma
NCIT:C114773	Childhood Brain Oligodendroglioma
NCIT:C9377	Brain Oligodendroglioma
NCIT:C3903	Mixed Glioma
NCIT:C115195	Childhood Mixed Glioma
NCIT:C114760	Childhood Brain Stem Mixed Glioma
NCIT:C114973	Childhood Anaplastic Oligoastrocytoma
NCIT:C115358	Recurrent Childhood Anaplastic Oligoastrocytoma
NCIT:C114974	Childhood Oligoastrocytoma
NCIT:C115370	Recurrent Childhood Oligoastrocytoma
NCIT:C115250	Adult Mixed Glioma
NCIT:C9371	Adult Brain Stem Mixed Glioma
NCIT:C4050	Oligoastrocytoma
NCIT:C129323	Oligoastrocytoma, Not Otherwise Specified
NCIT:C167082	Recurrent Oligoastrocytoma
NCIT:C6959	Anaplastic Oligoastrocytoma
NCIT:C129324	Anaplastic Oligoastrocytoma, Not Otherwise Specified
NCIT:C142861	Recurrent Anaplastic Oligoastrocytoma
NCIT:C8271	Mixed Astrocytoma-Ependymoma
NCIT:C8272	Mixed Astrocytoma-Ependymoma-Oligodendroglioma
NCIT:C4326	Anaplastic Oligodendroglioma
NCIT:C129321	Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted
NCIT:C129322	Anaplastic Oligodendroglioma, Not Otherwise Specified
NCIT:C142862	Recurrent Anaplastic Oligodendroglioma
NCIT:C115359	Recurrent Childhood Anaplastic Oligodendroglioma
NCIT:C169074	Refractory Anaplastic Oligodendroglioma
NCIT:C5447	Childhood Anaplastic Oligodendroglioma
NCIT:C8270	Adult Anaplastic Oligodendroglioma
NCIT:C7173	Diffuse Astrocytoma
NCIT:C114967	Childhood Diffuse Astrocytoma
NCIT:C114963	Childhood Fibrillary Astrocytoma
NCIT:C115361	Recurrent Childhood Fibrillary Astrocytoma
NCIT:C114964	Childhood Gemistocytic Astrocytoma
NCIT:C115362	Recurrent Childhood Gemistocytic Astrocytoma
NCIT:C114972	Childhood Protoplasmic Astrocytoma
NCIT:C115376	Recurrent Childhood Protoplasmic Astrocytoma
NCIT:C115360	Recurrent Childhood Diffuse Astrocytoma
NCIT:C8387	Childhood Cerebral Diffuse Astrocytoma
NCIT:C129271	Diffuse Astrocytoma, IDH-Mutant
NCIT:C129272	Gemistocytic Astrocytoma, IDH-Mutant
NCIT:C129274	Diffuse Astrocytoma, IDH-Wildtype
NCIT:C129277	Diffuse Astrocytoma, Not Otherwise Specified
NCIT:C167081	Recurrent Diffuse Astrocytoma
NCIT:C4320	Protoplasmic Astrocytoma
NCIT:C4321	Gemistocytic Astrocytoma
NCIT:C4322	Fibrillary Astrocytoma
NCIT:C7174	Adult Diffuse Astrocytoma
NCIT:C9477	Anaplastic Astrocytoma
NCIT:C129290	Anaplastic Astrocytoma, IDH-Mutant
NCIT:C129291	Anaplastic Astrocytoma, IDH-Wildtype
NCIT:C129292	Anaplastic Astrocytoma, Not Otherwise Specified
NCIT:C136517	Recurrent Anaplastic Astrocytoma
NCIT:C115356	Recurrent Childhood Anaplastic Astrocytoma
NCIT:C169075	Refractory Anaplastic Astrocytoma
NCIT:C5123	Hemispheric Anaplastic Astrocytoma
NCIT:C115202	Childhood Cerebral Anaplastic Astrocytoma
NCIT:C5124	Anaplastic Diencephalic Astrocytoma
NCIT:C5416	Secondary Supratentorial Anaplastic Astrocytoma
NCIT:C5966	Anaplastic Brain Stem Astrocytoma
NCIT:C6215	Childhood Anaplastic Astrocytoma
NCIT:C6252	Childhood Brain Anaplastic Astrocytoma
NCIT:C115201	Childhood Cerebellar Anaplastic Astrocytoma
NCIT:C8257	Adult Anaplastic Astrocytoma
NCIT:C132067	Low Grade Glioma
NCIT:C116342	Low Grade Astrocytic Tumor
NCIT:C3696	Subependymal Giant Cell Astrocytoma
NCIT:C114785	Childhood Subependymal Giant Cell Astrocytoma
NCIT:C115380	Recurrent Childhood Subependymal Giant Cell Astrocytoma
NCIT:C71017	Adult Subependymal Giant Cell Astrocytoma
NCIT:C4047	Pilocytic Astrocytoma
NCIT:C156037	Third Ventricle Pilocytic Astrocytoma
NCIT:C4048	Childhood Pilocytic Astrocytoma
NCIT:C115372	Recurrent Childhood Pilocytic Astrocytoma
NCIT:C27081	Juvenile Pilocytic Astrocytoma
NCIT:C6809	Cerebellar Pilocytic Astrocytoma
NCIT:C71016	Adult Pilocytic Astrocytoma
NCIT:C132505	WHO Grade II Glioma
NCIT:C148037	Recurrent WHO Grade II Glioma
NCIT:C157601	Recurrent Ependymoma
NCIT:C8579	Recurrent Childhood Ependymoma
NCIT:C158104	Refractory WHO Grade II Glioma
NCIT:C147108	Refractory Ependymoma
NCIT:C3017	Ependymoma
NCIT:C156462	Brain Ependymoma
NCIT:C5098	Brain Stem Ependymoma
NCIT:C9041	Childhood Infratentorial Ependymoma
NCIT:C9043	Childhood Supratentorial Ependymoma
NCIT:C6268	Childhood Cerebral Ependymoma
NCIT:C9372	Adult Brain Ependymoma
NCIT:C4319	Papillary Ependymoma
NCIT:C4713	Cellular Ependymoma
NCIT:C4714	Clear Cell Ependymoma
NCIT:C6903	Tanycytic Ependymoma
NCIT:C8578	Childhood Ependymoma
NCIT:C9092	Adult Ependymoma
NCIT:C92552	Angiocentric Glioma
NCIT:C132506	Recurrent Glioma
NCIT:C114956	Recurrent Childhood Astrocytic Tumor
NCIT:C115373	Recurrent Childhood Pilomyxoid Astrocytoma
NCIT:C115375	Recurrent Childhood Pleomorphic Xanthoastrocytoma
NCIT:C6217	Recurrent Childhood Brain Stem Astrocytoma
NCIT:C7530	Recurrent Childhood Visual Pathway Astrocytoma
NCIT:C8389	Recurrent Childhood Cerebellar Astrocytoma
NCIT:C9191	Recurrent Childhood Cerebral Astrocytoma
NCIT:C131617	Recurrent Ependymal Tumor
NCIT:C160912	Recurrent Anaplastic Ependymoma
NCIT:C142848	Recurrent Malignant Glioma
NCIT:C148038	Recurrent WHO Grade III Glioma
NCIT:C160904	Recurrent Anaplastic Pleomorphic Xanthoastrocytoma
NCIT:C155983	Recurrent Visual Pathway Glioma
NCIT:C7529	Recurrent Childhood Visual Pathway Glioma
NCIT:C9190	Recurrent Childhood Brain Stem Glioma
NCIT:C147107	Refractory Glioma
NCIT:C142855	Refractory Malignant Glioma
NCIT:C153865	Refractory WHO Grade III Glioma
NCIT:C160905	Refractory Anaplastic Pleomorphic Xanthoastrocytoma
NCIT:C160913	Refractory Anaplastic Ependymoma
NCIT:C155984	Refractory Visual Pathway Glioma
NCIT:C4324	Astroblastoma
NCIT:C84347	Anaplastic Astroblastoma
NCIT:C4822	Malignant Glioma
NCIT:C102897	High Grade Astrocytic Tumor
NCIT:C127816	WHO Grade III Glioma
NCIT:C129327	Anaplastic Pleomorphic Xanthoastrocytoma
NCIT:C4049	Anaplastic Ependymoma
NCIT:C124293	Childhood Anaplastic Ependymoma
NCIT:C8269	Adult Anaplastic Ependymoma
NCIT:C7446	Anaplastic Brain Stem Glioma
NCIT:C162993	Malignant Brain Glioma
NCIT:C5446	Meningeal Gliomatosis
NCIT:C6770	Ependymal Tumor
NCIT:C115192	Childhood Ependymal Tumor
NCIT:C124269	Childhood Myxopapillary Ependymoma
NCIT:C129351	Ependymoma, RELA Fusion-Positive
NCIT:C131610	Ependymal Tumor of Brain and Spinal Cord
NCIT:C131592	Cerebellar, Brain Stem, and Cervical Spinal Cord Ependymal Tumor
NCIT:C131613	Infratentorial and Spinal Cord Ependymal Tumor
NCIT:C3697	Myxopapillary Ependymoma
NCIT:C115263	Adult Myxopapillary Ependymoma
NCIT:C3795	Subependymoma
NCIT:C115623	Adult Subependymoma
NCIT:C3861	Ependymal Tumor of Brain
NCIT:C131585	Cerebellar and Brain Stem Ependymal Tumor
NCIT:C131611	Supratentorial Ependymal Tumor
NCIT:C131612	Infratentorial Ependymal Tumor
NCIT:C131576	Cerebellar Ependymal Tumor
NCIT:C68690	Adult Ependymal Tumor
NCIT:C6958	Astrocytic Tumor
NCIT:C5419	Gliofibroma
NCIT:C60781	Astrocytoma
NCIT:C124275	Childhood Astrocytoma
NCIT:C114970	Childhood Pilomyxoid Astrocytoma
NCIT:C114971	Childhood Pleomorphic Xanthoastrocytoma
NCIT:C4347	Childhood Cerebral Astrocytoma
NCIT:C6216	Childhood Brain Stem Astrocytoma
NCIT:C6286	Childhood Cerebellar Astrocytoma
NCIT:C7534	Childhood Visual Pathway Astrocytoma
NCIT:C40315	Pilomyxoid Astrocytoma
NCIT:C4323	Pleomorphic Xanthoastrocytoma
NCIT:C156041	Supratentorial Pleomorphic Xanthoastrocytoma
NCIT:C60780	Brain Astrocytoma
NCIT:C4951	Cerebral Astrocytoma
NCIT:C5128	Diencephalic Astrocytoma
NCIT:C7445	Brain Stem Astrocytoma
NCIT:C6954	Adult Brain Stem Astrocytoma
NCIT:C8274	Pineal Gland Astrocytoma
NCIT:C115327	Adult Pineal Gland Astrocytoma
NCIT:C9475	Cerebellar Astrocytoma
NCIT:C7533	Visual Pathway Astrocytoma
NCIT:C92550	Glioneuronal Tumor with Neuropil-Like Islands
NCIT:C7049	Adult Astrocytic Tumor
NCIT:C8289	Adult Infiltrating Astrocytic Tumor
NCIT:C9022	Childhood Astrocytic Tumor
NCIT:C6960	Oligodendroglial Tumor
NCIT:C68691	Adult Oligodendroglial Tumor
NCIT:C8501	Brain Stem Glioma
NCIT:C9042	Childhood Brain Stem Glioma
NCIT:C9091	Adult Brain Stem Glioma
NCIT:C8567	Visual Pathway Glioma
NCIT:C7535	Childhood Visual Pathway Glioma
NCIT:C3716	Primitive Neuroectodermal Tumor
NCIT:C27294	Localized Primitive Neuroectodermal Tumor
NCIT:C27295	Recurrent Primitive Neuroectodermal Tumor
NCIT:C7837	Recurrent Neuroblastoma
NCIT:C6963	Neuroblastic Tumor
NCIT:C3270	Neuroblastoma
NCIT:C115225	Familial Neuroblastoma
NCIT:C124270	Childhood Neuroblastoma
NCIT:C114775	Childhood Central Nervous System Neuroblastoma
NCIT:C134153	Refractory Neuroblastoma
NCIT:C150281	High-Risk Neuroblastoma
NCIT:C156101	Metastatic Neuroblastoma
NCIT:C42046	Undifferentiated Neuroblastoma
NCIT:C42047	Poorly Differentiated Neuroblastoma
NCIT:C42048	Differentiating Neuroblastoma
NCIT:C4826	Central Nervous System Neuroblastoma
NCIT:C5437	Extracranial Neuroblastoma
NCIT:C6638	Stage 1 Neuroblastoma
NCIT:C6639	Stage 2 Neuroblastoma
NCIT:C6640	Stage 3 Neuroblastoma
NCIT:C6641	Stage 4 Neuroblastoma
NCIT:C6956	Retinal Neuroblastoma
NCIT:C7836	Regional Neuroblastoma
NCIT:C3790	Ganglioneuroblastoma
NCIT:C124271	Childhood Ganglioneuroblastoma
NCIT:C124272	Childhood Central Nervous System Ganglioneuroblastoma
NCIT:C124273	Childhood Ganglioneuroblastoma, Intermixed
NCIT:C124274	Childhood Ganglioneuroblastoma, Nodular
NCIT:C42057	Ganglioneuroblastoma, Intermixed
NCIT:C42058	Ganglioneuroblastoma, Nodular
NCIT:C92629	Central Nervous System Ganglioneuroblastoma
NCIT:C4747	Neuronal and Mixed Neuronal-Glial Tumors
NCIT:C129431	Rosette-Forming Glioneuronal Tumor
NCIT:C67559	Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle
NCIT:C3788	Ganglioglioma
NCIT:C27362	Childhood Ganglioglioma
NCIT:C27363	Adult Ganglioglioma
NCIT:C3791	Central Neurocytoma
NCIT:C4717	Anaplastic Ganglioglioma
NCIT:C160914	Recurrent Anaplastic Ganglioglioma
NCIT:C160915	Refractory Anaplastic Ganglioglioma
NCIT:C4738	Desmoplastic Infantile Ganglioglioma
NCIT:C6934	Gangliocytoma
NCIT:C7372	Cerebellar Neuronal and Mixed Neuronal-Glial Tumor
NCIT:C6905	Cerebellar Liponeurocytoma
NCIT:C8419	Dysplastic Cerebellar Gangliocytoma
NCIT:C92554	Papillary Glioneuronal Tumor
NCIT:C92555	Extraventricular Neurocytoma
NCIT:C9476	Desmoplastic Infantile Astrocytoma
NCIT:C9505	Dysembryoplastic Neuroepithelial Tumor
NCIT:C6965	Pineal Parenchymal Cell Neoplasm
NCIT:C115196	Childhood Pineal Parenchymal Cell Neoplasm
NCIT:C114812	Childhood Pineoblastoma
NCIT:C115374	Recurrent Childhood Pineoblastoma
NCIT:C124137	Childhood Pineal Parenchymal Tumor of Intermediate Differentiation
NCIT:C6966	Pineocytoma
NCIT:C8291	Adult Pineocytoma
NCIT:C6967	Pineal Parenchymal Tumor of Intermediate Differentiation
NCIT:C8273	Adult Pineal Parenchymal Cell Neoplasm
NCIT:C8292	Adult Pineoblastoma
NCIT:C9344	Pineoblastoma
NCIT:C92624	Papillary Tumor of the Pineal Region
NCIT:C4972	Nerve Sheath Neoplasm
NCIT:C121681	Solitary Circumscribed Neuroma
NCIT:C121686	Hybrid Nerve Sheath Tumor
NCIT:C3269	Schwannoma
NCIT:C121677	Conventional Schwannoma
NCIT:C4724	Cellular Schwannoma
NCIT:C5321	Microcystic/Reticular Schwannoma
NCIT:C3474	Granular Cell Tumor
NCIT:C3252	Benign Granular Cell Tumor
NCIT:C5360	Cardiac Granular Cell Tumor
NCIT:C6601	Mediastinal Granular Cell Tumor
NCIT:C4973	Perineurioma
NCIT:C6912	Soft Tissue Perineurioma
NCIT:C4788	Malignant Nervous System Neoplasm
NCIT:C4627	Malignant Central Nervous System Neoplasm
NCIT:C129807	Central Nervous System Histiocytic Sarcoma
NCIT:C153823	Recurrent Primary Malignant Central Nervous System Neoplasm
NCIT:C114836	Recurrent Childhood Central Nervous System Embryonal Neoplasm
NCIT:C115381	Recurrent Childhood Supratentorial Embryonal Tumor, Not Otherwise Specified
NCIT:C6774	Recurrent Childhood Medulloblastoma
NCIT:C133499	Recurrent Atypical Teratoid/Rhabdoid Tumor
NCIT:C138019	Recurrent Central Nervous System Lymphoma
NCIT:C146990	Recurrent Central Nervous System Non-Hodgkin Lymphoma
NCIT:C157073	Recurrent Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System
NCIT:C153837	Recurrent Malignant Brain Neoplasm
NCIT:C115366	Recurrent Childhood Gliomatosis Cerebri
NCIT:C5588	Recurrent Medulloblastoma
NCIT:C147109	Recurrent Medulloblastoma, SHH-Activated
NCIT:C153842	Refractory Primary Malignant Central Nervous System Neoplasm
NCIT:C138020	Refractory Central Nervous System Lymphoma
NCIT:C146989	Refractory Central Nervous System Non-Hodgkin Lymphoma
NCIT:C157074	Refractory Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System
NCIT:C153845	Refractory Malignant Brain Neoplasm
NCIT:C142856	Refractory Medulloblastoma
NCIT:C147110	Refractory Medulloblastoma, SHH-Activated
NCIT:C162723	Refractory Atypical Teratoid/Rhabdoid Tumor
NCIT:C4015	Metastatic Malignant Neoplasm in the Central Nervous System
NCIT:C133503	Lung Carcinoma Metastatic in the Central Nervous System
NCIT:C36304	Lung Carcinoma Metastatic in the Brain
NCIT:C133504	Melanoma Metastatic in the Central Nervous System
NCIT:C3813	Metastatic Malignant Neoplasm in the Brain
NCIT:C5057	Secondary Cerebral Hodgkin Lymphoma
NCIT:C5816	Metastatic Malignant Neoplasm in the Adult Brain
NCIT:C8550	Metastatic Malignant Neoplasm in the Brain Stem
NCIT:C87797	Secondary Central Nervous System Lymphoma
NCIT:C114949	Secondary Central Nervous System Hodgkin Lymphoma
NCIT:C114950	Secondary Central Nervous System Non-Hodgkin Lymphoma
NCIT:C4628	Malignant Neoplasm of the Meninges
NCIT:C27383	Meningeal Carcinomatosis
NCIT:C38938	Grade III Meningioma
NCIT:C3904	Papillary Meningioma
NCIT:C8293	Adult Papillary Meningioma
NCIT:C4051	Anaplastic (Malignant) Meningioma
NCIT:C8275	Adult Anaplastic (Malignant) Meningioma
NCIT:C6909	Rhabdoid Meningioma
NCIT:C71303	Childhood Grade III Meningioma
NCIT:C71305	Adult Grade III Meningioma
NCIT:C4073	Meningeal Sarcoma
NCIT:C4334	Meningeal Sarcomatosis
NCIT:C92652	Meningeal Solitary Fibrous Tumor/Hemangiopericytoma, Grade 3
NCIT:C94756	Meningeal Lymphoma
NCIT:C95991	Dural Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
NCIT:C5114	Malignant Intracranial Neoplasm
NCIT:C3568	Malignant Brain Neoplasm
NCIT:C114774	Childhood Supratentorial Embryonal Tumor, Not Otherwise Specified
NCIT:C4318	Gliomatosis Cerebri
NCIT:C114969	Childhood Gliomatosis Cerebri
NCIT:C41842	Gliomatosis Cerebri Type I
NCIT:C41843	Gliomatosis Cerebri Type II
NCIT:C4533	Malignant Choroid Plexus Neoplasm
NCIT:C4715	Choroid Plexus Carcinoma
NCIT:C124292	Childhood Choroid Plexus Carcinoma
NCIT:C4954	Non-Metastatic Malignant Brain Neoplasm
NCIT:C4964	Malignant Supratentorial Neoplasm
NCIT:C3573	Malignant Pineal Region Neoplasm
NCIT:C4577	Malignant Cerebral Neoplasm
NCIT:C4970	Cerebral Embryonal Tumor, Not Otherwise Specified
NCIT:C7611	Cerebral Lymphoma
NCIT:C5054	Cerebral Lymphoma in Immunocompetent Host
NCIT:C5055	Cerebral Hodgkin Lymphoma
NCIT:C7609	Cerebral Non-Hodgkin Lymphoma
NCIT:C5126	Malignant Diencephalic Neoplasm
NCIT:C4576	Malignant Thalamic Neoplasm
NCIT:C6772	Childhood Supratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
NCIT:C6957	Childhood Cerebral Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
NCIT:C6968	Supratentorial Embryonal Tumor, Not Otherwise Specified
NCIT:C68703	Adult Supratentorial Embryonal Tumor, Not Otherwise Specified
NCIT:C4966	Malignant Infratentorial Neoplasm
NCIT:C3569	Malignant Cerebellar Neoplasm
NCIT:C3222	Medulloblastoma
NCIT:C129436	Large Cell/Anaplastic Medulloblastoma
NCIT:C129439	Medulloblastoma, Genetically Defined
NCIT:C129440	Medulloblastoma, WNT-Activated
NCIT:C129441	Medulloblastoma, SHH-Activated
NCIT:C129442	Medulloblastoma, SHH-Activated, TP53-Mutant
NCIT:C129443	Medulloblastoma, SHH-Activated, TP53-Wildtype
NCIT:C129444	Medulloblastoma, Non-WNT/Non-SHH
NCIT:C129445	Medulloblastoma, Non-WNT/Non-SHH, Group 3
NCIT:C129446	Medulloblastoma, Non-WNT/Non-SHH, Group 4
NCIT:C156039	Fourth Ventricle Medulloblastoma
NCIT:C27237	Familial Adenomatous Polyposis Associated Medulloblastoma
NCIT:C3997	Childhood Medulloblastoma
NCIT:C4011	Adult Medulloblastoma
NCIT:C4956	Desmoplastic/Nodular Medulloblastoma
NCIT:C5402	Region 17p13 Allelic Loss Associated Medulloblastoma
NCIT:C54039	Classic Medulloblastoma
NCIT:C5405	Nevoid Basal Cell Carcinoma Syndrome Associated Medulloblastoma
NCIT:C5407	Medulloblastoma with Extensive Nodularity
NCIT:C6904	Large Cell Medulloblastoma
NCIT:C92625	Anaplastic Medulloblastoma
NCIT:C3570	Malignant Brain Stem Neoplasm
NCIT:C5436	Cerebellopontine Angle Embryonal Tumor, Not Otherwise Specified
NCIT:C6773	Childhood Infratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
NCIT:C5115	Malignant Adult Brain Neoplasm
NCIT:C5154	Brain Sarcoma
NCIT:C5817	Intracranial Embryonal Tumor, Not Otherwise Specified
NCIT:C54099	Malignant Central Nervous System Germ Cell Tumor
NCIT:C7009	Central Nervous System Germinoma
NCIT:C27406	Childhood Central Nervous System Germinoma
NCIT:C5792	Adult Central Nervous System Germinoma
NCIT:C7010	Central Nervous System Embryonal Carcinoma
NCIT:C5790	Adult Central Nervous System Embryonal Carcinoma
NCIT:C6208	Childhood Central Nervous System Embryonal Carcinoma
NCIT:C7011	Central Nervous System Yolk Sac Tumor
NCIT:C6209	Childhood Central Nervous System Yolk Sac Tumor
NCIT:C7012	Central Nervous System Choriocarcinoma
NCIT:C5793	Adult Central Nervous System Choriocarcinoma
NCIT:C6206	Childhood Central Nervous System Choriocarcinoma
NCIT:C7015	Central Nervous System Teratoma with Malignant Transformation
NCIT:C7016	Central Nervous System Mixed Germ Cell Tumor
NCIT:C27402	Adult Central Nervous System Mixed Germ Cell Tumor
NCIT:C27403	Childhood Central Nervous System Mixed Germ Cell Tumor
NCIT:C5440	Central Nervous System Leukemia
NCIT:C5505	Central Nervous System Melanoma
NCIT:C62332	Central Nervous System Carcinoma
NCIT:C6758	Malignant Central Nervous System Mesenchymal, Non-Meningothelial Neoplasm
NCIT:C129527	Central Nervous System Solitary Fibrous Tumor/Hemangiopericytoma, Grade 3
NCIT:C129536	Central Nervous System Epithelioid Hemangioendothelioma
NCIT:C5153	Central Nervous System Sarcoma
NCIT:C129534	Central Nervous System Mesenchymal Chondrosarcoma
NCIT:C129566	Central Nervous System Undifferentiated Pleomorphic Sarcoma
NCIT:C5450	Central Nervous System Angiosarcoma
NCIT:C5464	Central Nervous System Rhabdomyosarcoma
NCIT:C5465	Central Nervous System Fibrosarcoma
NCIT:C6999	Central Nervous System Leiomyosarcoma
NCIT:C7002	Central Nervous System Extraskeletal Osteosarcoma
NCIT:C7006	Central Nervous System Kaposi Sarcoma
NCIT:C6990	Central Nervous System Embryonal Neoplasm
NCIT:C114833	Childhood Central Nervous System Embryonal Neoplasm
